Saskatchewan,Regina Area,Regina,Real Estate,For Sale,Houses for Sale in Campbell River,4 bedrooms,3 bathrooms,"1,848","$359,000.00"
Alberta,Medicine Hat,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,4 bedrooms,4 bathrooms,"1,847","$549,900.00"
Alberta,Red Deer,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,6 bedrooms,4 bathrooms,"1,820","$655,000.00"
Nova Scotia,New Glasgow,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,3 bathrooms,"1,800","$270,000.00"
Alberta,Lethbridge,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,5 bedrooms,2 bathrooms,"1,800","$395,000.00"
Territories,Yukon,Whitehorse,Real Estate,For Sale,Houses for Sale in Campbell River,4 bedrooms,2 bathrooms,"1,800","$459,900.00"
Ontario,Kitchener Area,Kitchener / Waterloo,Real Estate,For Sale,Houses for Sale in Campbell River,2 bedrooms,3 bathrooms,"1,800","$699,000.00"
Ontario,Ottawa / Gatineau Area,Ottawa,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,4 bathrooms,"1,759","$350,000.00"
Ontario,Ottawa / Gatineau Area,Ottawa,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,3 bathrooms,"1,759","$350,000.00"
Territories,Yukon,Whitehorse,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,680","$431,500.00"
Ontario,Ottawa / Gatineau Area,Gatineau,Real Estate,For Sale,Houses for Sale in Campbell River,4 bedrooms,2 bathrooms,"1,680","$725,000.00"
Alberta,Edmonton Area,Edmonton,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,3 bathrooms,"1,634","$340,000.00"
Manitoba,Winnipeg,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,5 bedrooms,3 bathrooms,"1,612","$449,900.00"
Alberta,Edmonton Area,Edmonton,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,600","$384,900.00"
Ontario,Barrie,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,600","$559,558.00"
Ontario,Barrie,Barrie,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,600","$559,558.00"
Ontario,Barrie,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,600","$559,558.00"
Ontario,Toronto (GTA),City of Toronto,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,3 bathrooms,"1,600","$1,599,000.00"
Ontario,Ottawa / Gatineau Area,Ottawa,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,560","$269,900.00"
Ontario,Ottawa / Gatineau Area,Ottawa,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,560","$269,900.00"
Ontario,Ottawa / Gatineau Area,Ottawa,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,560","$269,900.00"
Alberta,Edmonton Area,Edmonton,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,3 bathrooms,"1,557","$299,980.00"
Newfoundland,St. John's,Real Estate,Real Estate,For Sale,Houses for Sale in Campbell River,3 bedrooms,2 bathrooms,"1,552","$499,900.00"
